(* = deleted),Alternate Name A,Alternate Name B,Alternate Name C,Alternate Name D,Alternate Name E,Alternate Name F,Alternate Name G,Alternate Name H,,,,,,Reason of deletion
Unordered queries *,Non-ordered queries,,,,,,,,,,,,,No explanation in the source why it’s bad
Map-reduce for projection,Using map-reduce for projection,Using Map-Reduce to perform projection,Not using an aggregation pipeline for projection,,,,,,,,,,,
Index intersection rather than compound index,Use index intersection rather than compound index,,,,,,,,,,,,,
Prefix index of compound indexes,,,,,,,,,,,,,,
Leading wildcard searches on indexed columns,Regular expressions & indexes,Avoid Regular Expressions That Are Not Left Anchored or Rooted,,Leading wildcard indexes,,,,,,,,,,
Negation in queries,Index negation,,,,,,,,,,,,,
Bias toward access patterns,Bias toward any particular access pattern,,,,,,,,,,,,,
Perform ELT on a MongoDB database *,,,,,,,,,,,,,,Undetectable
Scatter-gather queries,,,,,,,,,,,,,,
"Non-ESR compound indexes (Equality, Sort, Range)",Not respection ESR,Not respecting ESR for compound indexes,Forgetting that the order of stages in an aggregation matters,,,,,,,,,,,
Too much network exposure,Allowing access from Internet,Database accessible from the internet,Failure to limit database access to known network devices,Allowing Access from the Internet,Failure to limit database access to know network devices,,,,,,,,,
No database user policy,Not having multiple database users with access roles,Having Just a Single MongoDB User,Having just a single user,,,,,,,,,,,
Premature sharding,,,,,,,,,,,,,,
Replicas as backup,Relying on replicas as backups,Using Replicas as Backup,,,,,,,,,,,,
Too many aggregation stages,Having too many aggregations stages,,,,,,,,,,,,,
"Using $map, $reduce and $filter with array fields","Using $map, $reduce and $filter when working with array fields","Avoid using the $map, $reduce and $filter, when working with array fields.",,,,,,,,,,,,
Multiple schemas in a file,Defining multiple Schema in a single file,,,,,,,,,,,,,
No dependency injector,Not using a dependency injector,Declaring multiple times models,,,,,,,,,,,,
No $elemMatch to match an entire array,Not using $elemMatch operator to match an entire array,,,,,,,,,,,,,
Relying on transactions,Relying on trasactions,,,,,,,,,,,,,
"Persistent entities should not be used as arguments of ""@RequestMapping"" methods *",,,,,,,,,,,,,,"Spring general issue, out of scope"
Using $ prefixed fields,,,,,,,,,,,,,,
No input sanitizing,Not sanitizing the input,Unsanitized inputs,,,,,,,,,,,,
Unpredictable tomorrow *,,,,,,,,,,,,,,Undetectable
Working set exceeds memory,,,,,,,,,,,,,,
Unencrypted data,Unencrypted data,,,,,,,,,,,,,
Using unofficial packages,,,,,,,,,,,,,,
No security patches,,,,,,,,,,,,,,
Manual backups,,,,,,,,,,,,,,
No database access control,av,,,,,,,,,,,,,
removing all documents *,,,,,,,,,,,,,,Undetectable
Testing only CRUD operations,Testing limited to CRUD operations,,,,,,,,,,,,,
$match is not user as the first stage,,,,,,,,,,,,,,
incorrect use of $unwind,,,,,,,,,,,,,,
"Trying to use the operators from the MQL’s find, when aggregation operators need to be used.",,,,,,,,,,,,,,
Bad formatting of the query,,,,,,,,,,,,,,
Unencrypted communication,Avoiding SSL usage,,,,,,,,,,,,,
Forcing all of documents to have identical structures *,,,,,,,,,,,,,,Undetectable
"Using the ""_id"" Field as a Primary Key *",Using the _id Field as a Primary Key,Reuse an _id Value,,,,,,,,,,,,No explanation in the source why it’s bad
Modifying the _id field *,,,,,,,,,,,,,,Undetectable
"Using a document for ""_id""",Using a document for _id,,,,,,,,,,,,,
Using GridFS for small binary data,,,,,,,,,,,,,,
Using fsync on every write *,,,,,,,,,,,,,,Undetectable
Large skips for pagination,Large Skips,,,,,,,,,,,,,
Immortal cursors,,,,,,,,,,,,,,
Avoid $Where,,,,,,,,,,,,,,
